"parentdunsnumber","vendorname"
"962480070","2M RESEARCH SERVICES LLC"
"006173082","3M COGENT, INC."
"012831116","4 CLICKS SOLUTIONS LIMITED LIABILITY COMPANY"
"610109675","4 STAR TECHNOLOGIES, INC."
"790460609","A-T SOLUTIONS, INC."
"149395936","A-TEAM SOLUTIONS, LLC"
"002149656","A & A COMPANY INC"
"752323712","A T C GROUP SERVICES INC"
"130381051","A. HAROLD AND ASSOCIATES LLC"
"783206659","A.I.S., INC."
"008184819","AARCHER, INC"
"610033953","ABARIS TRAINING RESOURCES, INC."
"043397520","ABT ASSOCIATES INC"
"047440297","ABT ENVIRONMENTAL RESEARCH INC."
"147980440","ACCEL CORPORATION"
"552120201","ACCELRYS, INC."
"985015354","ACCENTURE NATIONAL SECURITY SERVICES, LLC"
"168562267","ACCURA ENGINEERING AND CONSULTING SERVICES, INC."
"963009899","ACQUISITION SOLUTIONS INC"
"109448030","ACTIONABLE INTELLIGENCE TECHNOLOGIES, INC."
"083778964","ACUMEN, LLC"
"827627618","ADANTA, INC."
"039872622","ADDX CORPORATION"
"004473927","ADLI BUSINESS & PROFESSIONAL SOLUTIONS, INC."
"028130859","ADOA EXPERTS INCORPORATED"
"118498067","ADVANCED C4 SOLUTIONS, INC."
"831666859","ADVANCED DECISION VECTORS LLC"
"059223474","ADVANCED ENVIRONMENTAL MANAGEMENT GROUP, LLC"
"947874681","ADVANCED MARKETPLACE, INC."
"790913409","ADVANCED RESOURCE SOLUTIONS, INC"
"078596270","ADVANCED TECHNOLOGIES GROUP, LLC"
"185305658","AEIO, LLC"
"152869871","AERO SIMULATION, INC."
"829280531","AEROSPACE FACILITIES GROUP, INC."
"069354355","AES CORPORATION"
"808867357","AES INTERNATIONAL CORPORATION"
"192395689","AGEISS INC."
"171070639","AGSI, LLC"
"966424061","AH ENVIRONMENTAL CONSULTANTS, INC."
"102550670","AIR RESOURCE SPECIALISTS, INC."
"370470405","ALADDIN TEMP-RITE LLC"
"107954070","ALARM SECURITY GROUP LLC"
"003099298","ALBAN TRACTOR CO., INC."
"093803398","ALERE INFORMATICS INC"
"610537420","ALFONSO & ASSOCIATES CONSULTING, INC"
"119162332","ALION SCIENCE AND TECHNOLOGY CORPORATION"
"093826530","ALL CONSULTING, LLC"
"041643834","ALL NATIVE, INC."
"014435882","ALLEGHENY SCIENCE & TECHNOLOGY CORPORATION"
"007102168","ALLEN CORPORATION OF AMERICA, INC."
"118861942","ALLIANCE CONSULTING CORP."
"796854768","ALLMOND MARVIN C"
"013814889","ALPHA CORPORATION"
"186179420","ALPINE ARCHAEOLOGICAL CONSULTANTS, INC."
"131430514","ALTAIR ENGINEERING INC."
"064184468","ALTARUM INSTITUTE"
"752055947","ALTIUM, INC."
"052089695","ALUTIIQ DIVERSIFIED SERVICES, LLC"
"078352485","ALUTIIQ TECHNICAL SERVICES LLC"
"170729870","AMCOM SOFTWARE INC"
"026521332","AMEC EARTH & ENVIRONMENTAL, IN"
"800220415","AMERICA'S STAFFING PARTNER, INC."
"072635501","AMERICAN BANKERS ASSOCIATION"
"195884564","AMERICAN BIOMEDICAL GROUP, INC."
"690619705","AMERICAN ENGINEERING CORPORATION"
"051064566","AMERICAN HOSPITAL ASSOCIATION INC"
"046813507","AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS"
"041733197","AMERICAN INSTITUTES FOR RESEAR"
"064930233","AMERICAN MANAGEMENT ASSOCIATION INTERNATIONAL"
"073294837","AMERICAN NATIONAL STANDARDS INSTITUTE, INCORPORATED"
"040403800","AMERICAN PRODUCTIVITY QUALITY"
"969094858","AMERICAN TOWERS LLC"
"077795060","AMERICAN UNIVERSITY"
"079178504","AMS-RHEA JV"
"078677355","AMTIS-HEITECH, LLC"
"791152460","AMTIS, INC."
"012913265","ANALYSIS & DESIGN APPLICATION CO. LTD."
"077815736","ANALYTIC SERVICES INC."
"623876096","ANALYTIC STRATEGIES, LLC"
"606230399","ANALYTICAL GRAPHICS, INC."
"076637073","ANALYTICAL SERVICES, INC"
"869159897","ANNAMS SYSTEMS CORPORATION"
"063747653","ANSYS, INC."
"958996662","AOC SOLUTIONS INC"
"218140345","AON CONSULTING, INC."
"192648251","APPLIED FABRIC TECHNOLOGIES, I"
"152959271","APPLIED IMAGERY LLC"
"963042002","APPLIED INTELLECT"
"097967608","APPLIED RESEARCH ASSOCIATES, INC."
"120028035","APPLIED SCIENCES AND INFORMATION SYSTEMS, INC."
"078515710","APPLIED SECURITY TECHNOLOGIES, INC."
"120183715","APPRIO, INC"
"253713309","AQUATIC INFORMATICS INC"
"840239586","ARBINGER COMPANY, THE"
"052733297","ARCANUM GROUP, INC., THE"
"068515006","ARDL, INC."
"830333824","ARMED FORCES SERVICES CORPORATION"
"028445737","ASG FEDERAL, INC"
"861086320","ASG SOLUTIONS CORPORATION"
"968136080","ASH, CORY"
"615486636","ASHCO ENTERPRISES, INC."
"115338600","ASM AFFILIATES INC"
"057802209","ASPECT"
"151083305","ASR ANALYTICS, LLC"
"173738279","ASR INTERNATIONAL CORP."
"624105115","ASSOCIATED VETERANS LLC-QUALITY SOLUTIONS"
"072633340","ASSOCIATION OF GOVERNMENT ACCOUNTANTS"
"108024050","AT&T GOVERNMENT SOLUTIONS, INC."
"861012433","ATCS, P.L.C."
"295224364","ATKINS NORTH AMERICA, INC."
"153903802","ATLANTIC MANAGEMENT CENTER INCORPORATED"
"789540999","ATLAS GROUP LTD"
"827560744","ATLAS RESEARCH LLC"
"142444699","ATSG CORPORATION"
"738803118","ATTACHMATE CORPORATION"
"877238592","AUGUST SCHELL ENTERPRISES, INC."
"032688081","AUXILIO MANAGEMENT SERVICES"
"968013792","AVANTGARDE LLC"
"796250538","AVANTI CORPORATION"
"010152184","AVATAR ENVIRONMENTAL LLC"
"962137340","AVESHKA, INC."
"006995419","AVNET, INC."
"070487657","AWR CORPORATION"
"604596874","AXIOM CORPORATION"
"002207459","AXIOM RESOURCE MANAGEMENT INCORPORATED"
"030352822","AZIMUTH CORPORATION"
"135027477","B3 SOLUTIONS LIMITED LIABILITY COMPANY"
"623345949","B3H CORPORATION"
"830639469","BACIK GROUP LLC"
"217304393","BAE SYSTEMS INFORMATION SOLUTIONS, INC."
"007901598","BATTELLE MEMORIAL INSTITUTE IN"
"161244280","BAUM, ROMSTEDT TECHNOLOGY RESEARCH CORPORATION"
"101719243","BAY DIESEL CORPORATION"
"113781749","BAYFIRST SOLUTIONS LLC"
"117755293","BB&E, LLC"
"011455446","BBS TECHNOLOGIES, INC."
"628116055","BEACON TRAINING SERVICES INCORPORATED"
"024744476","BECKMAN COULTER, INC."
"114405558","BELL JAMES ASSOCIATES (INC)"
"828480686","BEN SELLERS ASSOCIATES, LLC"
"131097651","BENTLEY SYSTEMS, INCORPORATED"
"959866187","BERNEY ASSOCIATES, LLC"
"052351095","BFPE INTERNATIONAL, INC."
"020911756","BIO-WEST, INC."
"217241637","BITPLANE INC"
"058603631","BIZZELL GROUP LLC, THE"
"078278346","BLACKBOARD INC"
"490323641","BLACKBOARD INC"
"140697405","BLH TECHNOLOGIES, INC."
"121701957","BLUE TECH INC."
"133102595","BLUEFORCE L.L.C."
"079161545","BMC SOFTWARE, INC."
"225349273","BMT DESIGNERS & PLANNERS, INC."
"009256819","BOEING COMPANY, THE"
"964725688","BOOZ ALLEN HAMILTON INC."
"805650389","BOTTOMLINE SOLUTIONS INCORPORATED"
"109316237","BOYD, CATON AND GRANT TRANSPORTATION GROUP, INC"
"094718637","BROOKS & ASSOCIATES CPAS, LLC"
"018131938","BUILDING OWNERS AND MANAGERS INSTITUTE INTERNATIONAL, INCORPORATED"
"079868052","BULLEX, INC."
"110721235","BURLESON CONSULTING, INC."
"003413531","BURNLEY WORKSHOP OF THE POCONOS, INC. , THE"
"122893688","BURNS ENGINEERING, INC."
"079377097","BUSBY, BARNARD & HEALTH INFORMATION MANAGEMENT ASSOCIATES, LLC"
"169939688","BUSINESS INFORMATION TECHNOLOGY SOLUTIONS INC."
"098219137","BUSINESS STRATEGY CONSULTANTS LLC"
"008925919","BUTLER MACHINERY COMPANY"
"807021241","C2 TECHNOLOGIES, INC"
"827663563","C2G, LTD CO."
"784104536","CABEZON GROUP, INC"
"045534641","CACI INCORPORATED FEDERAL"
"104068093","CADENCE DESIGN SYSTEMS, INC."
"101163731","CADMUS GROUP, INC., THE"
"830778994","CALDWELL CLEANING LLC"
"966144961","CALERO SOFTWARE LLC"
"555498187","CALIBRE SYSTEMS, INC."
"869179705","CALYPTUS CONSULTING GROUP, INC."
"052371981","CAMBER CORPORATION"
"130845167","CAMBRIA CONSULTING INC"
"076596774","CAMBRIDGE SYSTEMATICS INC"
"008347437","CAMBRO MANUFACTURING COMPANY I"
"382014330","CAPGEMINI GOVERNMENT SOLUTIONS LIMITED LIABILITY COMPANY"
"183818145","CAPITAL CONSULTING CORP"
"181764697","CAPSTONE CORPORATION"
"088365767","CARAHSOFT TECHNOLOGY CORPORATION"
"611603457","CARDNO GS, INC."
"072487721","CAREER TRAINING CONCEPTS, INC."
"791216588","CAREERSTONE GROUP, LLC"
"869205930","CARNEY, INC."
"193991572","CARTER CONSULTING, INC."
"007941743","CARTER MACHINERY COMPANY, INCORPORATED"
"079187602","CATALOGIC SOFTWARE, INC."
"078866595","CATALYST SERVICES, LLC"
"386491765","CB&I FEDERAL SERVICES LLC"
"617608104","CBRE AIG"
"055990261","CDM FEDERAL PROGRAMS CORPORATION"
"808068253","CDW GOVERNMENT LLC"
"184779924","CEB INC."
"135230832","CELESTAR CORPORATION"
"033095568","CELLEBRITE USA CORP"
"132220604","CENSEO CONSULTING GROUP, INC."
"071580955","CENTER FOR CREATIVE LEADERSHIP INC"
"602035727","CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES (INC)"
"148058019","CENTRA TECHNOLOGY, INC."
"074875279","CENTRAL TEXAS COLLEGE"
"963588186","CENTRE LAW AND CONSULTING, LLC"
"126633861","CFI GROUP U S A, L.L.C."
"248513116","CGI FEDERAL INC."
"362311961","CGTECH"
"027620574","CH2M HILL CORP"
"078801273","CHAISE MANAGEMENT GROUP, LLC"
"867714768","CHEMONICS INTERNATIONAL, INC"
"077345494","CHEROKEE NATION ASSURANCE, L.L.C."
"831891788","CHEROKEE NATION TECHNOLOGIES, L.L.C."
"103324109","CHICAGO SOFT, LTD."
"084548148","CHOICE SHEETMETAL LLC"
"825487234","CI INTERNATIONAL, INC."
"153804570","CISCO SYSTEMS INC."
"353978984","CISION US, INC."
"809366024","CITADEL ENVIRONMENTAL SERVICES, INC."
"604596346","CITRIX SYSTEMS, INC."
"007920291","CLARK FORK AND BLACKFOOT, L.LC., THE"
"032691052","CLARK GROUP, LLC, THE"
"157793639","CLEAN HARBORS ENVIRONMENTAL SE"
"828350285","CLEARING, INC., THE"
"006948178","CLECO POWER LLC"
"077633311","CLIFTONLARSONALLEN LLP"
"809802239","CLINE-MORIN ASSOCIATES"
"622051969","CNA CORPORATION"
"070848361","CNI TECHNICAL SERVICES, LLC"
"077908069","COASTAL ENVIRONMENTS, INC"
"606223191","COASTAL MANAGEMENT SOLUTIONS"
"788296788","COFFEY CONSULTING, LLC"
"026814967","COLEY & ASSOCIATES INC"
"037447851","COLLABORATIVE INC, THE"
"143739998","COLLABRALINK TECHNOLOGIES, INCORPORATED"
"137058413","COLLEAGUE CONSULTING, LLC"
"033937074","COLTEC INDUSTRIES INC"
"116195363","COLUMBIA GROUP, INC, THE"
"802602060","COMMAND DECISIONS SYSTEMS & SOLUTIONS, INC."
"836405217","COMMONWEALTH TRADING PARTNERS INC."
"967762530","COMPONENTSOURCE, INC."
"080399256","COMPUTER ASSOCIATES INTERNATIO"
